<?php  if ( ! defined('BASEPATH')) exit('No direct script access allowed'); ?>

2015-08-19 12:29:22 :[order] ORDERID:#2015081900000609 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 12:39:18 :[order] ORDERID:#2015081900000610 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 12:45:39 :[order] ORDERID:#2015081900000611 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 13:40:39 :[order] ORDERID:#2015081900000612 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 13:59:00 :[order] ORDERID:#2015081900000613 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 14:29:56 :[order] ORDERID:#2015081900000614 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 14:37:39 :[order] ORDERID:#2015081900000615 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 15:52:43 :[order] ORDERID:#2015081900000617 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

2015-08-19 15:56:23 :[order] ORDERID:#2015081900000618 - EMAIL:litb_zyj-1@163.com - EID:258019 - ERROR:OK

